风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型,CT均值MW,CT有效均值MW,FAN_SUM均值MW,实际损耗均值MW,预期损耗均值MW,超额损耗均值MW,超额损耗总量MWmin,超额损耗总量MWh
63,明阳,WU,2024-10-09 16:34:00,2024-10-09 16:50:00,17,6.0,773.0,6.0562,72,B2,16.308828,16.308828,19.312900000000003,3.0040720000000043,2.817881188148015,0.1861908118519895,3.1652438014838213,0.05275406335806369
63,明阳,WU,2024-11-02 10:38:00,2024-11-02 10:59:00,22,6.0,6481.0,10.4665,137,B1,194.5857431818182,194.5857431818182,218.9039,24.31815681818179,12.39431365541149,11.9238431627703,262.3245495809466,4.37207582634911
63,明阳,WU,2024-11-29 17:07:00,2024-12-05 01:22:00,7696,1.0,0.0,8.0436,4,C,-0.0033219685758835,0.0,0.0,0.0,,,,
63,明阳,WU,2024-12-05 01:54:00,2024-12-05 04:26:00,153,1.0,0.0,5.472,4,C,-2.524129445098039,0.0,0.0,0.0,,,,
63,明阳,WU,2024-12-05 04:27:00,2024-12-05 15:22:00,656,1.0,0.0,0.0,8,B2,19.294109306661586,19.294109306661586,22.13934070091464,2.845231394253052,2.8695912198959523,-0.02435982564290029,-15.98004562174259,-0.2663340936957098
64,明阳,WU,2024-03-15 14:39:00,2024-03-15 14:45:00,7,6.0,0.0,2.1875,1,E,26.425269142857143,26.425269142857143,29.58957142857143,3.1643022857142853,3.0174448562118297,0.14685742950245562,1.0280020065171893,0.01713336677528649
64,明阳,WU,2024-03-15 20:14:00,2024-03-15 20:25:00,12,0.0,0.0,0.0,1,Normal,81.56628425000001,81.56628425000001,85.86677498333334,4.3004907333333335,4.675362531072336,-0.3748717977390026,-4.498461572868031,-0.07497435954780052
64,明阳,WU,2024-03-17 05:00:00,2024-03-17 05:09:00,10,3.0,0.0,8.2259,132,A,70.1681305,70.1681305,73.30080000000001,3.1326695000000058,4.222303794936205,-1.0896342949361992,-10.896342949361992,-0.18160571582269988
64,明阳,WU,2024-03-18 05:00:00,2024-03-18 05:09:00,10,3.0,0.0,6.2728,132,A,13.1082416,13.1082416,15.93,2.821758400000002,2.7591597123164817,0.06259868768352028,0.6259868768352028,0.010433114613920047
64,明阳,WU,2024-03-24 05:00:00,2024-03-24 05:10:00,11,1.0,663.0,4.9414,101,A,25.77733845454545,25.77733845454545,27.23609090909091,1.4587524545454542,2.968929173680568,-1.5101767191351136,-16.61194391048625,-0.2768657318414375
64,明阳,WU,2024-03-24 16:55:00,2024-03-24 17:05:00,11,1.0,2810.0,6.6504,106,A,33.18789236363636,33.18789236363636,36.21410000000001,3.026207636363651,3.1629785973139537,-0.13677096095030272,-1.50448057045333,-0.025074676174222165
64,明阳,WU,2024-03-30 16:56:00,2024-03-30 17:05:00,10,1.0,363.0,3.7793,136,A,10.2712487,10.2712487,13.316,3.0447513,2.7161500194853647,0.32860128051463544,3.2860128051463544,0.054766880085772573
64,明阳,WU,2024-03-31 04:56:00,2024-03-31 05:05:00,10,1.0,859.0,5.3906,135,A,50.4166818,50.4166818,54.7171,4.300418200000003,3.639612587239847,0.6608056127601558,6.608056127601558,0.1101342687933593
64,明阳,WU,2024-03-31 16:56:00,2024-03-31 17:05:00,10,1.0,1166.0,4.8438,136,A,47.9380247,47.9380247,45.39800000000001,-2.5400246999999894,3.386642217757988,-5.926666917757977,-59.26666917757977,-0.9877778196263295
64,明阳,WU,2024-04-06 05:01:00,2024-04-06 05:10:00,10,1.0,4235.0,10.0879,135,A,109.5595329,109.5595329,113.02289980000003,3.4633669000000395,5.817199834795609,-2.3538329347955695,-23.538329347955695,-0.39230548913259494
64,明阳,WU,2024-04-07 05:01:00,2024-04-07 05:11:00,11,1.0,2719.0,7.6888,108,A,33.675822,33.675822,40.839645454545455,7.163823454545458,3.272447586267721,3.891375868277737,42.805134551055104,0.7134189091842518
64,明阳,WU,2024-04-12 17:02:00,2024-04-12 17:11:00,10,1.0,134.0,3.1576,135,A,1.4527251,1.4527251,3.996,2.5432749,2.5795826361082606,-0.036307736108260436,-0.36307736108260436,-0.006051289351376739
64,明阳,WU,2024-04-13 04:57:00,2024-04-13 05:06:00,10,1.0,129.0,2.5358,135,A,-0.18726267,0.0,0.971,0.971,,,,
64,明阳,WU,2024-04-13 16:57:00,2024-04-13 17:06:00,10,1.0,114.0,2.9753,135,A,-1.060679695,0.0,0.44,0.44,,,,
64,明阳,WU,2024-04-19 17:02:00,2024-04-19 17:11:00,10,1.0,2592.0,7.5098,135,A,112.1678057,112.1678057,114.5496,2.381794300000024,5.887999661808715,-3.506205361808691,-35.06205361808691,-0.5843675603014484
64,明阳,WU,2024-04-20 17:02:00,2024-04-20 17:11:00,10,2.0,735.0,3.6003,135,A,145.87660999999997,145.87660999999997,152.5990001,6.722390100000041,7.8797001069727886,-1.1573100069727476,-11.573100069727476,-0.1928850011621246
64,明阳,WU,2024-04-27 05:03:00,2024-04-27 05:12:00,10,1.0,201.0,2.8874,130,A,16.849640100000002,16.849640100000002,28.938,12.088359899999997,3.003845778058427,9.08451412194157,90.8451412194157,1.5140856869902615
64,明阳,WU,2024-04-27 17:03:00,2024-04-27 17:12:00,10,2.0,735.0,7.7734,130,A,47.84908660000001,47.84908660000001,50.91199999999999,3.062913399999985,3.5331563814098006,-0.47024298140981546,-4.702429814098155,-0.07837383023496924
64,明阳,WU,2024-04-28 05:03:00,2024-04-28 05:12:00,10,2.0,733.0,6.6178,130,A,51.964412300000006,51.964412300000006,43.4069,-8.557512300000006,3.3359905555807225,-11.893502855580728,-118.93502855580728,-1.9822504759301214
