字段名,重复值,开始时间,结束时间,持续长度,is_zero_value,异常类型
ACTIVE_POWER_BING,0.0,2024-07-03 16:35:00,2024-07-03 16:41:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-05 07:20:00,2024-07-05 07:29:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-05 07:31:00,2024-07-05 07:35:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,-2.923477,2024-07-05 13:26:00,2024-07-05 13:30:00,5,False,集电线路非零卡值-删除
ACTIVE_POWER_BING,0.0,2024-07-05 15:59:00,2024-07-05 16:05:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-05 16:28:00,2024-07-05 16:33:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-05 16:37:00,2024-07-05 16:44:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-05 16:47:00,2024-07-05 16:56:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-05 16:58:00,2024-07-05 17:02:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-06 07:34:00,2024-07-06 07:38:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-06 07:59:00,2024-07-06 08:06:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-06 17:08:00,2024-07-06 17:16:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-07 02:19:00,2024-07-07 02:24:00,6,True,集电线路零值-需结合风机数据判断
