P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
120.0,130.0,124.90497300000001,2.671531499999986,4540,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
130.0,140.0,134.78363000000002,2.9011155000000173,3866,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
140.0,150.0,145.9872,2.575397000000038,4333,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
150.0,160.0,155.106335,3.064664499999992,3320,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
160.0,170.0,164.870665,3.436587999999958,3020,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
170.0,180.0,174.98542,3.6957739999999717,2820,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
180.0,190.0,184.84350999999998,3.5718685000000363,2840,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
190.0,200.0,194.988775,3.9176044999999533,2642,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
200.0,210.0,205.0929,4.005295999999987,2843,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
210.0,220.0,215.12859,4.507901500000031,2936,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
220.0,230.0,224.99982,4.328079999999915,2305,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
230.0,240.0,235.3059,4.741400999999996,2869,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
240.0,250.0,244.92564499999997,5.4037169999999435,2810,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
250.0,260.0,254.12982,5.997186000000056,4021,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
260.0,270.0,263.65936,6.026300000000049,2023,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
270.0,280.0,274.26535,5.5657580000000735,1727,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
280.0,290.0,280.97818,5.440705999999864,797,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
10.0,20.0,14.868289,2.1785815,18492,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
20.0,30.0,24.8771305,2.0628765,16384,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
30.0,40.0,34.9600415,1.9953000000000003,14958,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
40.0,50.0,44.797591,1.9371650000000002,14113,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
50.0,60.0,54.73166699999999,1.9223899999999858,11115,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
60.0,70.0,64.727881,1.91874099999999,9303,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
70.0,80.0,74.98238850000003,1.9582134999999923,7940,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
80.0,90.0,84.88622450000003,2.0557304999999886,6956,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
90.0,100.0,94.71053900000001,2.156317999999999,6372,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
100.0,110.0,104.93840849999995,2.2584850000000003,5700,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
110.0,120.0,114.854023,2.3893850000000114,5244,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
120.0,130.0,124.987126,2.6356540000000024,4567,1,10.0,20,DING,丁（DING）,B,FAN_eff,FAN_eff,10.0,10.0
