风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型
123,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,774.1,4.921,135,多机-大范围-短时
124,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,-28.38,5.797,135,多机-大范围-短时
125,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1659.44,6.091,135,多机-大范围-短时
126,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,957.38,5.191,135,多机-大范围-短时
127,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,0.0,4.727,135,多机-大范围-短时
128,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,534.832,4.508,135,多机-大范围-短时
129,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,591.58,4.601,135,多机-大范围-短时
130,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,770.07,4.906,135,多机-大范围-短时
131,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,776.74,4.924,135,多机-大范围-短时
132,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1472.66,5.854,135,多机-大范围-短时
133,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,1095.4,5.383,135,多机-大范围-短时
134,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,611.76,4.645,135,多机-大范围-短时
135,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,362.66,4.118,135,多机-大范围-短时
136,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,839.76,5.01,135,多机-大范围-短时
137,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,819.201,4.976,135,多机-大范围-短时
138,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,550.08,4.545,135,多机-大范围-短时
